ObjectID,KiloNBR,BlockAddress,CMID,CMAgency,Date,Type,Status,Score,Side
1582187,LHP200418000785,470500 BLOCK IPU LEPO WAY,Honolulu_PD_HI_LHP200418000785_140,"Honolulu PD, HI",04/18/2020 10:32:00 PM +0000,VANDALISM,M,100,10143
1582188,LHP200418000794,0 BLOCK AULIKE ST,Honolulu_PD_HI_LHP200418000794_110,"Honolulu PD, HI",04/18/2020 10:39:00 PM +0000,FRAUD,M,100,10144
1582189,LHP200418000795,872000 BLOCK FARRINGTON HWY,Honolulu_PD_HI_LHP200418000795_060,"Honolulu PD, HI",04/18/2020 10:41:00 PM +0000,THEFT/LARCENY,M,100,10145
1582190,LHP200418000805,1000 BLOCK KOPKE ST,Honolulu_PD_HI_LHP200418000805_064,"Honolulu PD, HI",04/18/2020 10:49:00 PM +0000,VEHICLE BREAK-IN/THEFT,M,100,10146
1582191,LHP200418000861,2500 BLOCK DATE ST,Honolulu_PD_HI_LHP200418000861_077,"Honolulu PD, HI",04/18/2020 11:13:00 PM +0000,MOTOR VEHICLE THEFT,M,100,10147
1582192,LHP200418000868,1200 BLOCK S BERETANIA ST,Honolulu_PD_HI_LHP200418000868_060,"Honolulu PD, HI",04/18/2020 11:18:00 PM +0000,THEFT/LARCENY,M,100,10148
1582193,LHP200418000886,ALA ILIMA&ALA LILIKOI ST,Honolulu_PD_HI_LHP200418000886_140,"Honolulu PD, HI",04/18/2020 11:33:00 PM +0000,VANDALISM,T,100,10149
1582194,LHP200418000900,ROUND TOP DR&TANTALUS DR,Honolulu_PD_HI_LHP200418000900_064,"Honolulu PD, HI",04/18/2020 11:39:00 PM +0000,VEHICLE BREAK-IN/THEFT,M,100,10150
1582195,LHP200418000906,4300 BLOCK LAWEHANA ST,Honolulu_PD_HI_LHP200418000906_180,"Honolulu PD, HI",04/18/2020 11:46:00 PM +0000,DRUGS/ALCOHOL VIOLATIONS,M,100,10151
1582197,LHP200418000964,840800 BLOCK FARRINGTON HWY,Honolulu_PD_HI_LHP200418000964_060,"Honolulu PD, HI",04/19/2020 12:13:00 AM +0000,THEFT/LARCENY,M,100,10152
1582198,LHP200418000967,870200 BLOCK HOLOPONO ST,Honolulu_PD_HI_LHP200418000967_060,"Honolulu PD, HI",04/19/2020 12:14:00 AM +0000,THEFT/LARCENY,M,100,10153
1582199,LHP200418000969,700 BLOCK WAILEPO PL,Honolulu_PD_HI_LHP200418000969_140,"Honolulu PD, HI",04/19/2020 12:14:00 AM +0000,VANDALISM,M,100,10154
1582200,LHP200418001033,470400 BLOCK HUI AEKO PL,Honolulu_PD_HI_LHP200418001033_077,"Honolulu PD, HI",04/19/2020 12:45:00 AM +0000,MOTOR VEHICLE THEFT,M,100,10155
